trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.42436044201302603, 'e': 0.42013897252428334}",25,3,-20.896864807786226,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.423511721129, 'e': 0.4180382776616619}",25,0,-76.37607176084094,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",1
175,False,"{'a': 0.422664697686742, 'e': 0.4159480862733536}",20,0,-15.298803900272175,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
176,False,"{'a': 0.4218193682913685, 'e': 0.41386834584198684}",25,8,-5.857689758448613,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.4209757295547858, 'e': 0.4117990041127769}",25,15,16.77085532368967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4201337780956762, 'e': 0.40974000909221303}",35,6,-79.11599665992394,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 2}",1
179,False,"{'a': 0.4192935105394848, 'e': 0.40769130904675194}",20,3,7.409293911239252,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.41845492351840585, 'e': 0.40565285250151817}",30,9,-48.304862515483016,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 0}",1
181,False,"{'a': 0.417618013671369, 'e': 0.4036245882390106}",20,0,2.2687186367338876,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.41678277764402627, 'e': 0.4016064652978155}",20,0,-41.089833950191185,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
183,False,"{'a': 0.4159492120887382, 'e': 0.3995984329713264}",30,19,3.8803545522346656,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.4151173136645607, 'e': 0.3976004408064698}",20,8,22.405631330741883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.4142870790372316, 'e': 0.39561243860243744}",25,8,-46.49174214191375,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
186,False,"{'a': 0.41345850487915714, 'e': 0.3936343764094253}",20,12,-27.499368304699953,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
187,False,"{'a': 0.41263158786939885, 'e': 0.39166620452737816}",20,10,-56.4806935015971,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
188,False,"{'a': 0.4118063246936601, 'e': 0.3897078735047413}",20,2,-25.835071328044553,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
189,False,"{'a': 0.4109827120442728, 'e': 0.3877593341372176}",20,0,-101.59735115943458,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
